Mo-Yr,violent-crime,violent-crimeclearances,violent-crimerate,violent-crimeclearancerate,population,participated_population,aggravated-assault,aggravated-assaultclearances,aggravated-assaultrate,aggravated-assaultclearancerate,robbery,robberyclearances,robberyrate,robberyclearancerate,arson,arsonclearances,arsonrate,arsonclearancerate,homicide,homicideclearances,homiciderate,homicideclearancerate,burglary,burglaryclearances,burglaryrate,burglaryclearancerate,motor-vehicle-theft,motor-vehicle-theftclearances,motor-vehicle-theftrate,motor-vehicle-theftclearancerate,larceny,larcenyclearances,larcenyrate,larcenyclearancerate,rape,rapeclearances,raperate,rapeclearancerate,property-crime,property-crimeclearances,property-crimerate,property-crimeclearancerate,Date
03-2001,308429.0,159173.0,118.97,61.4,284796887,259250006.0,61147.0,33439.0,23.59,12.9,28182.0,7202.0,10.87,2.78,5569.0,964.0,2.15,0.37,1051.0,654.0,0.41,0.25,134482.0,17307.0,51.87,6.68,82803.0,10950.0,31.94,4.22,466998.0,82749.0,180.13,31.92,6308.0,2688.0,2.43,1.04,689852.0,111970.0,266.1,43.19,2001-03-01
04-2001,310887.0,157476.0,120.06,60.82,284796887,258935694.0,64005.0,33964.0,24.72,13.12,27405.0,6915.0,10.58,2.67,6127.0,988.0,2.37,0.38,1143.0,614.0,0.44,0.24,134963.0,16523.0,52.12,6.38,81081.0,10486.0,31.31,4.05,472815.0,79199.0,182.6,30.59,6136.0,2547.0,2.37,0.98,694986.0,107196.0,268.4,41.4,2001-04-01
05-2001,329840.0,165845.0,127.62,64.17,284796887,258454389.0,67656.0,35297.0,26.18,13.66,29806.0,7138.0,11.53,2.76,6793.0,1177.0,2.63,0.46,1203.0,712.0,0.47,0.28,145524.0,17724.0,56.31,6.86,85484.0,10876.0,33.08,4.21,508347.0,82508.0,196.69,31.92,6516.0,2780.0,2.52,1.08,746148.0,112285.0,288.7,43.44,2001-05-01
06-2001,383217.0,170951.0,148.38,66.19,284796887,258267665.0,83209.0,38686.0,32.22,14.98,38096.0,7709.0,14.75,2.98,7955.0,1126.0,3.08,0.44,1452.0,776.0,0.56,0.3,174089.0,18654.0,67.41,7.22,107220.0,11895.0,41.52,4.61,606743.0,87222.0,234.93,33.77,7810.0,2839.0,3.02,1.1,896007.0,118897.0,346.93,46.04,2001-06-01
07-2001,329694.0,161977.0,127.75,62.77,284796887,258067654.0,71706.0,36338.0,27.79,14.08,32104.0,7397.0,12.44,2.87,7656.0,1139.0,2.97,0.44,1349.0,715.0,0.52,0.28,158597.0,18896.0,61.46,7.32,95294.0,11647.0,36.93,4.51,537417.0,81436.0,208.25,31.56,7184.0,3017.0,2.78,1.17,798964.0,113118.0,309.59,43.83,2001-07-01
08-2001,318569.0,160685.0,123.66,62.37,284796887,257611227.0,67698.0,34553.0,26.28,13.41,31929.0,7776.0,12.39,3.02,6845.0,1040.0,2.66,0.4,1287.0,773.0,0.5,0.3,159584.0,18918.0,61.95,7.34,94313.0,12514.0,36.61,4.86,538016.0,82828.0,208.85,32.15,6934.0,3070.0,2.69,1.19,798758.0,115300.0,310.06,44.76,2001-08-01
09-2001,323287.0,155823.0,125.51,60.49,284796887,257580604.0,66561.0,33134.0,25.84,12.86,31671.0,7062.0,12.3,2.74,6266.0,931.0,2.43,0.36,1237.0,646.0,0.48,0.25,152603.0,17535.0,59.24,6.81,92002.0,10502.0,35.72,4.08,500749.0,76149.0,194.4,29.56,6410.0,2698.0,2.49,1.05,751620.0,105117.0,291.8,40.81,2001-09-01
10-2001,322876.0,158619.0,125.68,61.74,284796887,256898230.0,65279.0,33817.0,25.41,13.16,35533.0,7797.0,13.83,3.04,6600.0,985.0,2.57,0.38,1322.0,765.0,0.51,0.3,162932.0,18271.0,63.42,7.11,98829.0,11855.0,38.47,4.61,535311.0,82787.0,208.37,32.23,6231.0,2720.0,2.43,1.06,803672.0,113898.0,312.84,44.34,2001-10-01
11-2001,289933.0,141077.0,112.67,54.82,284796887,257333645.0,58009.0,29757.0,22.54,11.56,33737.0,7321.0,13.11,2.84,6072.0,851.0,2.36,0.33,1223.0,668.0,0.48,0.26,154244.0,17429.0,59.94,6.77,93553.0,10714.0,36.35,4.16,488929.0,79914.0,190.0,31.05,5592.0,2373.0,2.17,0.92,742798.0,108908.0,288.65,42.32,2001-11-01
12-2001,676018.0,352414.0,263.7,137.47,284796887,256360679.0,144996.0,81059.0,56.56,31.62,67231.0,16229.0,26.23,6.33,9110.0,1410.0,3.55,0.55,2509.0,1549.0,0.98,0.6,345180.0,45046.0,134.65,17.57,185891.0,25538.0,72.51,9.96,1061834.0,191929.0,414.2,74.87,12679.0,5796.0,4.95,2.26,1602015.0,263923.0,624.91,102.95,2001-12-01
01-2002,284417.0,144437.0,106.44,54.06,288368698,267197533.0,56040.0,31083.0,20.97,11.63,32207.0,7874.0,12.05,2.95,5882.0,1069.0,2.2,0.4,1210.0,775.0,0.45,0.29,153101.0,18818.0,57.3,7.04,93716.0,12473.0,35.07,4.67,483511.0,85277.0,180.96,31.92,5915.0,2476.0,2.21,0.93,736210.0,117637.0,275.53,44.03,2002-01-01
02-2002,255922.0,130301.0,95.93,48.84,288368698,266775775.0,50238.0,27186.0,18.83,10.19,24641.0,6552.0,9.24,2.46,5130.0,922.0,1.92,0.35,996.0,636.0,0.37,0.24,124169.0,15790.0,46.54,5.92,78425.0,10696.0,29.4,4.01,417271.0,76496.0,156.41,28.67,5436.0,2254.0,2.04,0.84,624995.0,103904.0,234.28,38.95,2002-02-01
03-2002,298759.0,151402.0,112.08,56.8,288368698,266560966.0,60055.0,32189.0,22.53,12.08,27791.0,7056.0,10.43,2.65,5754.0,1064.0,2.16,0.4,1170.0,692.0,0.44,0.26,138590.0,18019.0,51.99,6.76,88684.0,11957.0,33.27,4.49,469242.0,85594.0,176.04,32.11,6161.0,2672.0,2.31,1.0,702270.0,116634.0,263.46,43.76,2002-03-01
04-2002,308950.0,160684.0,115.99,60.33,288368698,266360847.0,62861.0,34528.0,23.6,12.96,27151.0,7868.0,10.19,2.95,5749.0,942.0,2.16,0.35,1154.0,718.0,0.43,0.27,140471.0,18553.0,52.74,6.97,85094.0,11823.0,31.95,4.44,482570.0,85268.0,181.17,32.01,6681.0,2798.0,2.51,1.05,713884.0,116586.0,268.01,43.77,2002-04-01
05-2002,325444.0,164703.0,122.33,61.91,288368698,266043657.0,67037.0,36046.0,25.2,13.55,29299.0,7906.0,11.01,2.97,6218.0,1095.0,2.34,0.41,1168.0,715.0,0.44,0.27,151714.0,19157.0,57.03,7.2,88446.0,12085.0,33.24,4.54,508497.0,87443.0,191.13,32.87,7016.0,2980.0,2.64,1.12,754875.0,119780.0,283.74,45.02,2002-05-01
06-2002,385554.0,184015.0,145.02,69.21,288368698,265867503.0,83422.0,40325.0,31.38,15.17,37636.0,7916.0,14.16,2.98,7306.0,1069.0,2.75,0.4,1462.0,798.0,0.55,0.3,178231.0,19893.0,67.04,7.48,109043.0,12811.0,41.01,4.82,602072.0,89946.0,226.46,33.83,8289.0,3237.0,3.12,1.22,896652.0,123719.0,337.26,46.53,2002-06-01
07-2002,328545.0,162197.0,123.56,61.0,288368698,265892875.0,68105.0,34358.0,25.61,12.92,29807.0,6575.0,11.21,2.47,7322.0,1155.0,2.75,0.43,1352.0,731.0,0.51,0.27,161367.0,19113.0,60.69,7.19,95038.0,11859.0,35.74,4.46,535763.0,83156.0,201.5,31.27,7319.0,3013.0,2.75,1.13,799490.0,115283.0,300.68,43.36,2002-07-01
08-2002,326344.0,163795.0,122.78,61.63,288368698,265791299.0,67019.0,35454.0,25.21,13.34,30403.0,7034.0,11.44,2.65,6403.0,954.0,2.41,0.36,1288.0,751.0,0.48,0.28,159352.0,19025.0,59.95,7.16,94031.0,11574.0,35.38,4.35,531844.0,84122.0,200.1,31.65,7269.0,3013.0,2.73,1.13,791630.0,115675.0,297.84,43.52,2002-08-01
09-2002,352256.0,164309.0,132.68,61.89,288368698,265487393.0,76427.0,34323.0,28.79,12.93,37742.0,6864.0,14.22,2.59,6214.0,982.0,2.34,0.37,1529.0,734.0,0.58,0.28,163483.0,18612.0,61.58,7.01,99522.0,11126.0,37.49,4.19,537935.0,80402.0,202.62,30.28,7534.0,2866.0,2.84,1.08,807154.0,111122.0,304.03,41.86,2002-09-01
10-2002,306122.0,157734.0,115.51,59.52,288368698,265017748.0,59297.0,32015.0,22.37,12.08,30736.0,7301.0,11.6,2.75,5600.0,842.0,2.11,0.32,1188.0,750.0,0.45,0.28,154093.0,18815.0,58.14,7.1,93377.0,11646.0,35.23,4.39,513174.0,86002.0,193.64,32.45,6351.0,2832.0,2.4,1.07,766244.0,117305.0,289.13,44.26,2002-10-01
11-2002,277339.0,136605.0,104.75,51.59,288368698,264770687.0,51923.0,27440.0,19.61,10.36,29200.0,6121.0,11.03,2.31,5142.0,834.0,1.94,0.31,1105.0,621.0,0.42,0.23,142605.0,15886.0,53.86,6.0,89113.0,10264.0,33.66,3.88,460509.0,79335.0,173.93,29.96,5610.0,2290.0,2.12,0.86,697369.0,106319.0,263.39,40.16,2002-11-01
12-2002,694778.0,356289.0,262.52,134.62,288368698,264656793.0,148591.0,78124.0,56.14,29.52,72507.0,16278.0,27.4,6.15,10428.0,1355.0,3.94,0.51,2522.0,1570.0,0.95,0.59,356740.0,47762.0,134.79,18.05,188978.0,27035.0,71.4,10.22,1087478.0,201439.0,410.9,76.11,13753.0,6442.0,5.2,2.43,1643624.0,277591.0,621.04,104.89,2002-12-01
01-2003,276287.0,139521.0,102.46,51.74,290809777,269658252.0,51237.0,27589.0,19.0,10.23,28389.0,6536.0,10.53,2.42,5291.0,845.0,1.96,0.31,1103.0,656.0,0.41,0.24,143253.0,16814.0,53.12,6.24,90559.0,10825.0,33.58,4.01,455296.0,79314.0,168.84,29.41,5940.0,2403.0,2.2,0.89,694399.0,107798.0,257.51,39.98,2003-01-01
02-2003,241218.0,129574.0,89.86,48.27,290809777,268429754.0,43717.0,26417.0,16.29,9.84,21591.0,5987.0,8.04,2.23,4273.0,783.0,1.59,0.29,979.0,637.0,0.36,0.24,112915.0,15063.0,42.07,5.61,76143.0,9830.0,28.37,3.66,388082.0,72163.0,144.57,26.88,5081.0,2235.0,1.89,0.83,581413.0,97839.0,216.6,36.45,2003-02-01
03-2003,321471.0,158307.0,119.52,58.86,290809777,268968934.0,64469.0,31634.0,23.97,11.76,32802.0,6881.0,12.2,2.56,5398.0,909.0,2.01,0.34,1318.0,652.0,0.49,0.24,145774.0,17843.0,54.2,6.63,93607.0,11002.0,34.8,4.09,499931.0,83486.0,185.87,31.04,6683.0,2577.0,2.48,0.96,744710.0,113240.0,276.88,42.1,2003-03-01
04-2003,304451.0,152229.0,113.75,56.87,290809777,267660991.0,57878.0,30173.0,21.62,11.27,26513.0,6314.0,9.91,2.36,6044.0,1012.0,2.26,0.38,1194.0,698.0,0.45,0.26,142942.0,17464.0,53.4,6.52,87076.0,10361.0,32.53,3.87,477656.0,81585.0,178.46,30.48,6001.0,2545.0,2.24,0.95,713718.0,110422.0,266.65,41.25,2003-04-01
05-2003,326484.0,162147.0,122.17,60.67,290809777,267239198.0,62623.0,32738.0,23.43,12.25,28062.0,7028.0,10.5,2.63,5937.0,1031.0,2.22,0.39,1232.0,698.0,0.46,0.26,151790.0,18966.0,56.8,7.1,89089.0,10623.0,33.34,3.98,500655.0,84417.0,187.34,31.59,6729.0,2675.0,2.52,1.0,747471.0,115037.0,279.7,43.05,2003-05-01
06-2003,386934.0,175409.0,144.95,65.71,290809777,266936170.0,84138.0,37297.0,31.52,13.97,41895.0,7658.0,15.69,2.87,7335.0,1079.0,2.75,0.4,1593.0,766.0,0.6,0.29,186833.0,21015.0,69.99,7.87,115385.0,12439.0,43.23,4.66,624081.0,90732.0,233.79,33.99,8198.0,3046.0,3.07,1.14,933634.0,125265.0,349.76,46.93,2003-06-01
07-2003,319164.0,157719.0,119.81,59.2,290809777,266401781.0,64425.0,32889.0,24.18,12.35,29354.0,6740.0,11.02,2.53,7502.0,1112.0,2.82,0.42,1364.0,781.0,0.51,0.29,161774.0,19477.0,60.73,7.31,95402.0,12027.0,35.81,4.51,530111.0,82424.0,198.99,30.94,7114.0,2987.0,2.67,1.12,794789.0,115040.0,298.34,43.18,2003-07-01
08-2003,322421.0,156550.0,121.08,58.79,290809777,266290613.0,64059.0,32661.0,24.06,12.27,29024.0,6485.0,10.9,2.44,6476.0,1044.0,2.43,0.39,1306.0,705.0,0.49,0.26,158958.0,18939.0,59.69,7.11,95810.0,10952.0,35.98,4.11,519438.0,80373.0,195.06,30.18,7210.0,2939.0,2.71,1.1,780682.0,111308.0,293.17,41.8,2003-08-01
09-2003,330001.0,159849.0,123.99,60.06,290809777,266141867.0,68050.0,32255.0,25.57,12.12,35267.0,6866.0,13.25,2.58,5805.0,938.0,2.18,0.35,1383.0,707.0,0.52,0.27,164653.0,18400.0,61.87,6.91,99879.0,10872.0,37.53,4.09,537680.0,81261.0,202.03,30.53,7150.0,2817.0,2.69,1.06,808017.0,111471.0,303.6,41.88,2003-09-01
10-2003,309180.0,154860.0,116.15,58.18,290809777,266194700.0,58999.0,31047.0,22.16,11.66,29936.0,7034.0,11.25,2.64,5933.0,950.0,2.23,0.36,1191.0,742.0,0.45,0.28,156213.0,18577.0,58.68,6.98,94488.0,11023.0,35.5,4.14,508287.0,84388.0,190.95,31.7,6231.0,2663.0,2.34,1.0,764921.0,114938.0,287.35,43.18,2003-10-01
11-2003,276428.0,136657.0,103.99,51.41,290809777,265821183.0,51912.0,27557.0,19.53,10.37,28200.0,6101.0,10.61,2.3,5130.0,764.0,1.93,0.29,1118.0,636.0,0.42,0.24,144304.0,16717.0,54.29,6.29,89808.0,10109.0,33.79,3.8,455842.0,78105.0,171.48,29.38,5702.0,2419.0,2.15,0.91,695084.0,105695.0,261.49,39.76,2003-11-01
12-2003,682634.0,352608.0,257.51,133.01,290809777,265089169.0,143328.0,74177.0,54.07,27.98,69999.0,16592.0,26.41,6.26,7685.0,1446.0,2.9,0.55,2617.0,1625.0,0.99,0.61,350526.0,46552.0,132.23,17.56,187052.0,26929.0,70.56,10.16,1080148.0,202651.0,407.47,76.45,13724.0,6325.0,5.18,2.39,1625411.0,277578.0,613.16,104.71,2003-12-01
01-2004,278156.0,138911.0,100.71,50.29,293655404,276203773.0,51090.0,27632.0,18.5,10.0,27838.0,6378.0,10.08,2.31,4862.0,814.0,1.76,0.29,1108.0,676.0,0.4,0.24,141715.0,16964.0,51.31,6.14,91486.0,10731.0,33.12,3.89,451809.0,81698.0,163.58,29.58,6239.0,2294.0,2.26,0.83,689872.0,110207.0,249.77,39.9,2004-01-01
02-2004,264009.0,135599.0,95.65,49.13,293655404,276002127.0,48101.0,26452.0,17.43,9.58,22474.0,6018.0,8.14,2.18,4550.0,816.0,1.65,0.3,956.0,627.0,0.35,0.23,120287.0,15160.0,43.58,5.49,80170.0,9810.0,29.05,3.55,410120.0,77001.0,148.59,27.9,5937.0,2318.0,2.15,0.84,615127.0,102787.0,222.87,37.24,2004-02-01
03-2004,324021.0,156932.0,117.57,56.94,293655404,275601619.0,65367.0,30892.0,23.72,11.21,31197.0,6425.0,11.32,2.33,5669.0,1015.0,2.06,0.37,1334.0,659.0,0.48,0.24,148499.0,17786.0,53.88,6.45,93624.0,10919.0,33.97,3.96,512021.0,88117.0,185.78,31.97,7182.0,2781.0,2.61,1.01,759813.0,117837.0,275.69,42.76,2004-03-01
04-2004,305639.0,155199.0,110.96,56.35,293655404,275441342.0,58315.0,30992.0,21.17,11.25,25086.0,6451.0,9.11,2.34,5528.0,973.0,2.01,0.35,1149.0,744.0,0.42,0.27,140368.0,17793.0,50.96,6.46,84634.0,10319.0,30.73,3.75,471515.0,83104.0,171.19,30.17,6492.0,2604.0,2.36,0.95,702045.0,112189.0,254.88,40.73,2004-04-01
05-2004,334006.0,164792.0,121.28,59.84,293655404,275406977.0,64529.0,33228.0,23.43,12.07,26781.0,6521.0,9.72,2.37,5740.0,954.0,2.08,0.35,1222.0,691.0,0.44,0.25,149355.0,17647.0,54.23,6.41,89008.0,10365.0,32.32,3.76,495846.0,84050.0,180.04,30.52,6933.0,2468.0,2.52,0.9,739949.0,113016.0,268.67,41.04,2004-05-01
06-2004,390117.0,183561.0,141.88,66.76,293655404,274958264.0,85915.0,40338.0,31.25,14.67,40685.0,8222.0,14.8,2.99,6707.0,1112.0,2.44,0.4,1602.0,813.0,0.58,0.3,192069.0,22011.0,69.85,8.01,115361.0,12430.0,41.96,4.52,641335.0,97895.0,233.25,35.6,8304.0,3160.0,3.02,1.15,955472.0,133448.0,347.5,48.53,2004-06-01
07-2004,321119.0,158402.0,116.99,57.71,293655404,274486608.0,64055.0,32883.0,23.34,11.98,28885.0,6842.0,10.52,2.49,6780.0,1011.0,2.47,0.37,1338.0,748.0,0.49,0.27,161691.0,19319.0,58.91,7.04,92795.0,11376.0,33.81,4.14,520337.0,83163.0,189.57,30.3,7087.0,2731.0,2.58,0.99,781603.0,114869.0,284.75,41.85,2004-07-01
08-2004,317381.0,157521.0,115.77,57.46,293655404,274150903.0,62170.0,32513.0,22.68,11.86,28714.0,6674.0,10.47,2.43,5887.0,871.0,2.15,0.32,1327.0,761.0,0.48,0.28,160494.0,19201.0,58.54,7.0,92647.0,10797.0,33.79,3.94,517168.0,84187.0,188.64,30.71,6954.0,2765.0,2.54,1.01,776196.0,115056.0,283.13,41.97,2004-08-01
09-2004,331498.0,158839.0,121.23,58.09,293655404,273445932.0,67115.0,31149.0,24.54,11.39,34096.0,6585.0,12.47,2.41,5466.0,868.0,2.0,0.32,1375.0,744.0,0.5,0.27,160327.0,18563.0,58.63,6.79,93577.0,10632.0,34.22,3.89,522383.0,80787.0,191.04,29.54,6860.0,2623.0,2.51,0.96,781753.0,110850.0,285.89,40.54,2004-09-01
10-2004,313921.0,156532.0,114.61,57.15,293655404,273893074.0,58152.0,30635.0,21.23,11.19,29260.0,6590.0,10.68,2.41,5221.0,882.0,1.91,0.32,1159.0,665.0,0.42,0.24,154369.0,17676.0,56.36,6.45,92547.0,10613.0,33.79,3.87,505209.0,83387.0,184.45,30.45,6585.0,2518.0,2.4,0.92,757346.0,112558.0,276.51,41.1,2004-10-01
11-2004,278493.0,138993.0,101.92,50.87,293655404,273236328.0,51065.0,26801.0,18.69,9.81,28079.0,6351.0,10.28,2.32,4895.0,780.0,1.79,0.29,1118.0,657.0,0.41,0.24,151355.0,16569.0,55.39,6.06,90087.0,9975.0,32.97,3.65,468059.0,79834.0,171.3,29.22,5839.0,2389.0,2.14,0.87,714396.0,107158.0,261.46,39.22,2004-11-01
12-2004,681947.0,348845.0,249.54,127.65,293655404,273286189.0,143619.0,73595.0,52.55,26.93,67341.0,15376.0,24.64,5.63,7995.0,1489.0,2.93,0.54,2541.0,1451.0,0.93,0.53,353125.0,45375.0,129.21,16.6,184334.0,25443.0,67.45,9.31,1062820.0,195530.0,388.9,71.55,13833.0,6096.0,5.06,2.23,1608274.0,267837.0,588.49,98.01,2004-12-01
01-2005,287713.0,142528.0,103.49,51.27,296410404,277998335.0,52361.0,27726.0,18.84,9.97,27125.0,6468.0,9.76,2.33,4535.0,785.0,1.63,0.28,1116.0,655.0,0.4,0.24,143882.0,16868.0,51.76,6.07,91354.0,10498.0,32.86,3.78,440382.0,78273.0,158.41,28.16,6370.0,2292.0,2.29,0.82,680153.0,106424.0,244.66,38.28,2005-01-01
02-2005,260040.0,133070.0,93.67,47.93,296410404,277610250.0,46265.0,24650.0,16.67,8.88,21617.0,5763.0,7.79,2.08,4289.0,809.0,1.54,0.29,1049.0,646.0,0.38,0.23,119292.0,15242.0,42.97,5.49,77521.0,9601.0,27.92,3.46,392705.0,72376.0,141.46,26.07,5631.0,2271.0,2.03,0.82,593807.0,98028.0,213.9,35.31,2005-02-01
03-2005,316810.0,154366.0,114.29,55.69,296410404,277203187.0,62208.0,29100.0,22.44,10.5,31632.0,6663.0,11.41,2.4,5275.0,943.0,1.9,0.34,1293.0,753.0,0.47,0.27,145839.0,17751.0,52.61,6.4,92140.0,10952.0,33.24,3.95,489375.0,84787.0,176.54,30.59,6618.0,2599.0,2.39,0.94,732629.0,114433.0,264.29,41.28,2005-03-01
04-2005,316578.0,156984.0,114.29,56.67,296410404,276994196.0,59212.0,30649.0,21.38,11.06,26197.0,6363.0,9.46,2.3,5582.0,1103.0,2.02,0.4,1152.0,622.0,0.42,0.22,142095.0,17040.0,51.3,6.15,85446.0,10384.0,30.85,3.75,470654.0,81860.0,169.91,29.55,6467.0,2502.0,2.33,0.9,703777.0,110387.0,254.08,39.85,2005-04-01
05-2005,338217.0,164703.0,122.2,59.51,296410404,276772196.0,64205.0,32483.0,23.2,11.74,27893.0,6850.0,10.08,2.47,5715.0,1044.0,2.06,0.38,1332.0,816.0,0.48,0.29,154251.0,18662.0,55.73,6.74,89614.0,10852.0,32.38,3.92,493952.0,84972.0,178.47,30.7,6820.0,2604.0,2.46,0.94,743532.0,115530.0,268.64,41.74,2005-05-01
06-2005,398984.0,186759.0,144.25,67.52,296410404,276584627.0,87869.0,39570.0,31.77,14.31,41902.0,8222.0,15.15,2.97,6538.0,1029.0,2.36,0.37,1749.0,892.0,0.63,0.32,193132.0,22147.0,69.83,8.01,113950.0,13164.0,41.2,4.76,635432.0,96179.0,229.74,34.77,8264.0,3060.0,2.99,1.11,949052.0,132519.0,343.13,47.91,2005-06-01
07-2005,338280.0,162872.0,122.52,58.99,296410404,276112869.0,67248.0,33908.0,24.36,12.28,30700.0,6965.0,11.12,2.52,6842.0,1081.0,2.48,0.39,1434.0,759.0,0.52,0.27,164793.0,19375.0,59.68,7.02,95519.0,11699.0,34.59,4.24,516814.0,82708.0,187.17,29.95,7224.0,2638.0,2.62,0.96,783968.0,114863.0,283.93,41.6,2005-07-01
08-2005,330541.0,166999.0,119.85,60.55,296410404,275793812.0,63786.0,33620.0,23.13,12.19,30746.0,7216.0,11.15,2.62,5889.0,1019.0,2.14,0.37,1391.0,784.0,0.5,0.28,167414.0,20772.0,60.7,7.53,97305.0,12210.0,35.28,4.43,527870.0,85247.0,191.4,30.91,7269.0,2986.0,2.64,1.08,798478.0,119248.0,289.52,43.24,2005-08-01
09-2005,345190.0,164392.0,125.34,59.69,296410404,275402725.0,68982.0,32179.0,25.05,11.68,36939.0,6908.0,13.41,2.51,5729.0,869.0,2.08,0.32,1346.0,693.0,0.49,0.25,166391.0,19205.0,60.42,6.97,96768.0,11003.0,35.14,4.0,516159.0,79147.0,187.42,28.74,7340.0,2681.0,2.67,0.97,785047.0,110224.0,285.05,40.02,2005-09-01
10-2005,322723.0,159298.0,117.3,57.9,296410404,275127933.0,59443.0,30420.0,21.61,11.06,31975.0,6888.0,11.62,2.5,5654.0,944.0,2.06,0.34,1282.0,733.0,0.47,0.27,161934.0,18777.0,58.86,6.82,96596.0,10916.0,35.11,3.97,494367.0,82231.0,179.69,29.89,6583.0,2499.0,2.39,0.91,758551.0,112868.0,275.71,41.02,2005-10-01
11-2005,288414.0,145354.0,104.88,52.86,296410404,274999351.0,52082.0,27941.0,18.94,10.16,30620.0,6737.0,11.13,2.45,5200.0,906.0,1.89,0.33,1197.0,694.0,0.44,0.25,153203.0,17208.0,55.71,6.26,91031.0,10421.0,33.1,3.79,449092.0,77136.0,163.31,28.05,5863.0,2413.0,2.13,0.88,698526.0,105671.0,254.01,38.43,2005-11-01
12-2005,667074.0,347772.0,242.7,126.53,296410404,274851887.0,140899.0,76735.0,51.26,27.92,68243.0,15282.0,24.83,5.56,7260.0,1462.0,2.64,0.53,2590.0,1516.0,0.94,0.55,332864.0,42732.0,121.11,15.55,171269.0,24449.0,62.31,8.9,977136.0,179459.0,355.51,65.29,12859.0,5787.0,4.68,2.11,1488529.0,248102.0,541.57,90.27,2005-12-01
01-2006,308741.0,149987.0,107.41,52.18,299398484,287438196.0,57158.0,29290.0,19.89,10.19,32337.0,7316.0,11.25,2.55,5590.0,992.0,1.94,0.35,1244.0,709.0,0.43,0.25,156416.0,17663.0,54.42,6.14,93993.0,10896.0,32.7,3.79,464719.0,79101.0,161.68,27.52,6647.0,2534.0,2.31,0.88,720718.0,108652.0,250.74,37.8,2006-01-01
02-2006,269154.0,137447.0,93.8,47.9,299398484,286931187.0,48833.0,25616.0,17.02,8.93,24413.0,6277.0,8.51,2.19,4918.0,864.0,1.71,0.3,955.0,554.0,0.33,0.19,124227.0,15636.0,43.3,5.45,77267.0,9424.0,26.93,3.28,387616.0,69127.0,135.09,24.09,5563.0,2091.0,1.94,0.73,594028.0,95051.0,207.03,33.13,2006-02-01
03-2006,329528.0,156903.0,114.86,54.69,299398484,286906632.0,64922.0,29660.0,22.63,10.34,33967.0,6787.0,11.84,2.37,6136.0,1177.0,2.14,0.41,1291.0,701.0,0.45,0.24,152928.0,18019.0,53.3,6.28,92325.0,10434.0,32.18,3.64,483123.0,77384.0,168.39,26.97,6871.0,2524.0,2.39,0.88,734512.0,107014.0,256.01,37.3,2006-03-01
04-2006,327639.0,157851.0,114.45,55.14,299398484,286275551.0,62255.0,30592.0,21.75,10.69,28647.0,6728.0,10.01,2.35,6107.0,1010.0,2.13,0.35,1232.0,682.0,0.43,0.24,145223.0,16922.0,50.73,5.91,84327.0,9505.0,29.46,3.32,451825.0,72068.0,157.83,25.17,6448.0,2211.0,2.25,0.77,687482.0,99505.0,240.15,34.76,2006-04-01
05-2006,350946.0,171005.0,122.32,59.6,299398484,286904762.0,66570.0,33108.0,23.2,11.54,31552.0,7540.0,11.0,2.63,6276.0,1086.0,2.19,0.38,1256.0,704.0,0.44,0.25,161664.0,19064.0,56.35,6.64,88308.0,10393.0,30.78,3.62,495197.0,79031.0,172.6,27.55,6938.0,2600.0,2.42,0.91,751445.0,109574.0,261.91,38.19,2006-05-01
06-2006,419408.0,188586.0,146.4,65.83,299398484,286479504.0,90110.0,40039.0,31.45,13.98,46981.0,8897.0,16.4,3.11,6925.0,1090.0,2.42,0.38,1864.0,887.0,0.65,0.31,200411.0,22259.0,69.96,7.77,114461.0,12343.0,39.95,4.31,634026.0,90051.0,221.32,31.43,8790.0,3133.0,3.07,1.09,955823.0,125743.0,333.64,43.89,2006-06-01
07-2006,347884.0,166180.0,121.41,58.0,299398484,286538183.0,70289.0,34033.0,24.53,11.88,33651.0,7536.0,11.74,2.63,7111.0,981.0,2.48,0.34,1487.0,783.0,0.52,0.27,171184.0,19894.0,59.74,6.94,93866.0,10768.0,32.76,3.76,511484.0,76183.0,178.5,26.59,7352.0,2771.0,2.57,0.97,783645.0,107826.0,273.49,37.63,2006-07-01
08-2006,334900.0,164025.0,116.79,57.2,299398484,286752482.0,65032.0,32914.0,22.68,11.48,33136.0,7709.0,11.56,2.69,6064.0,983.0,2.11,0.34,1325.0,762.0,0.46,0.27,171647.0,20437.0,59.86,7.13,94225.0,11202.0,32.86,3.91,516992.0,79726.0,180.29,27.8,7232.0,2858.0,2.52,1.0,788928.0,112348.0,275.13,39.18,2006-08-01
09-2006,344344.0,161482.0,120.18,56.36,299398484,286531259.0,68790.0,31080.0,24.01,10.85,38049.0,7552.0,13.28,2.64,5247.0,954.0,1.83,0.33,1496.0,749.0,0.52,0.26,166490.0,18879.0,58.11,6.59,91832.0,10016.0,32.05,3.5,509195.0,76228.0,177.71,26.6,6773.0,2595.0,2.36,0.91,772764.0,106077.0,269.7,37.02,2006-09-01
10-2006,328187.0,161599.0,114.57,56.41,299398484,286455971.0,60186.0,30596.0,21.01,10.68,33173.0,7538.0,11.58,2.63,5599.0,883.0,1.95,0.31,1316.0,756.0,0.46,0.26,164871.0,19091.0,57.56,6.66,91438.0,10230.0,31.92,3.57,484499.0,79697.0,169.14,27.82,6472.0,2487.0,2.26,0.87,746407.0,109901.0,260.57,38.37,2006-10-01
